LINE_ID,RATING_MW
L_1,inf
L_2,inf
L_3,inf
L_4,inf
L_5,inf
L_6,inf
L_7,inf
L_8,inf
L_9,inf
L_10,inf
L_11,inf
L_12,inf
L_13,inf
L_14,inf
L_15,inf
L_16,inf
L_17,inf
L_18,inf
L_19,inf
L_20,inf
L_21,inf
L_22,inf
L_23,inf
L_24,inf
L_25,inf
L_26,inf
L_27,inf
L_28,inf
L_29,inf
L_30,inf
L_31,inf
L_32,inf
L_33,inf
L_34,inf
L_35,inf
L_36,inf
L_37,inf
L_38,inf
L_39,inf
L_40,inf
L_41,inf
L_42,inf
L_43,inf
L_44,inf
L_45,inf
L_46,inf
L_47,inf
L_48,inf
L_49,inf
L_50,inf
L_51,inf
L_52,inf
L_53,inf
L_54,inf
L_55,inf
L_56,inf
L_57,inf
L_58,inf
L_59,inf
L_60,inf
L_61,inf
L_62,inf
L_63,inf
L_64,inf
L_65,inf
L_66,inf
L_67,inf
L_68,inf
L_69,inf
L_70,inf
L_71,inf
L_72,inf
L_73,inf
L_74,inf
L_75,inf
L_76,inf
L_77,inf
L_78,inf
L_79,inf
L_80,inf
L_81,inf
L_82,inf
L_83,inf
L_84,inf
L_85,inf
L_86,inf
L_87,inf
L_88,inf
L_89,inf
L_90,inf
L_91,inf
L_92,inf
L_93,inf
L_94,inf
L_95,inf
L_96,inf
L_97,inf
L_98,inf
L_99,inf
L_100,inf
L_101,inf
L_102,inf
L_103,inf
L_104,inf
L_105,inf
L_106,inf
L_107,inf
L_108,inf
L_109,inf
L_110,inf
L_111,inf
L_112,inf
L_113,inf
L_114,inf
L_115,inf
L_116,inf
L_117,inf
L_118,inf
L_119,inf
L_120,inf
L_121,inf
L_122,inf
L_123,inf
L_124,inf
L_125,inf
L_126,inf
L_127,inf
L_128,inf
L_129,inf
L_130,inf
L_131,inf
L_132,inf
L_133,inf
L_134,inf
L_135,inf
L_136,inf
L_137,inf
L_138,inf
L_139,inf
L_140,inf
L_141,inf
L_142,inf
L_143,inf
L_144,inf
L_145,inf
L_146,inf
L_147,inf
L_148,inf
L_149,inf
L_150,inf
L_151,inf
L_152,inf
L_153,inf
L_154,inf
L_155,inf
L_156,inf
L_157,inf
L_158,inf
L_159,inf
L_160,inf
L_161,inf
L_162,inf
L_163,inf
L_164,inf
L_165,inf
L_166,inf
L_167,inf
L_168,inf
L_169,inf
L_170,inf
L_171,inf
L_172,inf
L_173,inf
L_174,inf
L_175,inf
L_176,inf
L_177,inf
L_178,inf
L_179,inf
L_180,inf
L_181,inf
L_182,inf
L_183,inf
L_184,inf
L_185,inf
L_186,inf
L_187,inf
L_188,inf
L_189,inf
L_190,inf
L_191,inf
L_192,inf
L_193,inf
L_194,inf
L_195,inf
L_196,inf
L_197,inf
L_198,inf
L_199,inf
L_200,inf
L_201,inf
L_202,inf
L_203,inf
L_204,inf
L_205,inf
L_206,inf
L_207,inf
L_208,inf
L_209,inf
L_210,inf
L_211,inf
L_212,inf
L_213,inf
L_214,inf
L_215,inf
L_216,inf
L_217,inf
L_218,inf
L_219,inf
L_220,inf
L_221,inf
L_222,inf
L_223,inf
L_224,inf
L_225,inf
L_226,inf
L_227,inf
L_228,inf
L_229,inf
L_230,inf
L_231,inf
L_232,inf
L_233,inf
L_234,inf
L_235,inf
L_236,inf
L_237,inf
L_238,inf
L_239,inf
L_240,140
L_241,514.0893255
L_242,514.0893255
L_243,154.6881413
L_244,154.6881413
L_245,154.6881413
L_246,203.5358016
L_247,154.6881413
L_248,154.6881413
L_249,203.5358016
L_250,364.8798428
L_251,154.6881413
L_252,156.8119527
L_253,163.7143394
L_254,203.5358016
L_255,184.4214997
L_256,203.5358016
L_257,154.6881413
L_258,184.4214997
L_259,154.6881413
L_260,154.6881413
L_261,119.4380091
L_262,128.8870413
L_263,116.1983409
L_264,116.1983409
L_265,149.4927679
L_266,154.6881413
L_267,147.5202782
L_268,514.0893255
L_269,395.0993845
L_270,147.5202782
L_271,147.5202782
L_272,131.8571697
L_273,110.798894
L_274,163.7143394
L_275,150.1750423
L_276,147.5202782
L_277,147.5202782
L_278,154.6881413
L_279,184.4214997
L_280,156.8119527
L_281,156.8119527
L_282,131.8571697
L_283,184.4214997
L_284,184.4214997
L_285,2754.498665
L_286,124.2975114
L_287,152.644608
L_288,184.4214997
L_289,153.8917121
L_290,176.1917309
L_291,176.1917309
L_292,124.2975114
L_293,119.4380091
L_294,119.4380091
L_295,116.1983409
L_296,152.644608
L_297,116.1983409
L_298,107.2892534
L_299,107.2892534
L_300,107.8291981
L_301,107.2892534
L_302,110.798894
L_303,116.1983409
L_304,127.8071519
L_305,110.798894
L_306,110.798894
L_307,110.798894
L_308,2459.55437
L_309,153.1845527
L_310,110.798894
L_311,2459.55437
L_312,110.798894
L_313,153.1845527
L_314,107.2892534
L_315,153.1845527
L_316,110.2589493
L_317,110.798894
L_318,110.798894
L_319,109.7190046
L_320,110.798894
L_321,120.2479262
L_322,124.9547829
L_323,110.2589493
L_324,120.2479262
L_325,114.0385621
L_326,136.1047924
L_327,137.9631273
L_328,139.0250329
L_329,131.8567372
L_330,165.3333084
L_331,121.0578432
L_332,121.0578432
L_333,120.2479262
L_334,137.5261565
L_335,138.4940801
L_336,115.1184515
L_337,114.0385621
L_338,137.5261565
L_339,137.5261565
L_340,108.0991705
L_341,110.2589493
L_342,124.027539
L_343,153.6262357
L_344,117.5482027
L_345,120.2479262
L_346,171.5426724
L_347,155.4845706
L_348,107.2892534
L_349,110.2589493
L_350,110.2589493
L_351,362.767142
L_352,224.3852502
L_353,224.3852502
L_354,105.399447
L_355,110.2589493
L_356,116.1983409
L_357,110.2589493
L_358,110.2589493
L_359,110.2589493
L_360,193.9786507
L_361,195.3060327
L_362,402.6443668
L_363,340.5837854
L_364,364.8798428
L_365,814.6209915
L_366,814.6209915
L_367,871.9279963
L_368,871.9279963
L_369,110.2589493
L_370,124.2975114
L_371,122.9476496
L_372,871.9279963
L_373,871.9279963
L_374,289.0867073
L_375,138.4940801
L_376,152.9145804
L_377,136.4462671
L_378,122.0297437
L_379,116.1983409
L_380,138.4940801
L_381,116.1983409
L_382,129.1570137
L_383,116.1983409
L_384,116.1983409
L_385,116.1983409
L_386,177.6783988
L_387,155.4845706
L_388,110.2589493
L_389,116.1983409
L_390,110.2589493
L_391,110.2589493
L_392,131.0468201
L_393,131.0468201
L_394,116.4683133
L_395,2799.453515
L_396,102.6997235
L_397,2799.453515
L_398,134.2864883
L_399,132.1226461
L_400,2799.453515
L_401,153.1845527
L_402,135.9063224
L_403,109.1790599
L_404,135.9063224
L_405,135.9063224
L_406,2799.453515
L_407,2799.453515
L_408,2754.498665
L_409,110.798894
L_410,203.5358016
L_411,557.3996885
L_412,557.3996885
L_413,557.3996885
L_414,557.3996885
L_415,573.509031
L_416,573.509031
L_417,411.0951693
L_418,336.3583841
L_419,557.3996885
L_420,557.3996885
L_421,370.7954045
L_422,557.3996885
L_423,180.5467119
L_424,557.3996885
L_425,557.3996885
L_426,370.7954045
L_427,337.678822
L_428,350.2757995
L_429,557.3996885
L_430,200
L_431,557.3996885
L_432,2740.611713
L_433,557.3996885
L_434,557.3996885
L_435,573.509031
L_436,573.509031
L_437,370.7954045
L_438,403.700717
L_439,300
L_440,604.935453
L_441,604.935453
L_442,557.3996885
L_443,213.6844215
L_444,573.2449433
L_445,573.2449433
L_446,336.3583841
L_447,336.3583841
L_448,258.452548
L_449,604.935453
L_450,604.935453
L_451,604.935453
L_452,604.935453
L_453,604.935453
L_454,604.935453
L_455,604.935453
L_456,123.217622
L_457,118.6550893
L_458,118.6550893
L_459,132.072715
L_460,164.1427304
L_461,164.1427304
L_462,153.014578
L_463,204.9046044
L_464,153.0119005
L_465,153.014578
L_466,163.9923442
L_467,153.014578
L_468,153.014578
L_469,132.072715
L_470,122.758669
L_471,153.014578
L_472,163.9923442
L_473,132.072715
L_474,153.014578
L_475,153.014578
L_476,153.014578
L_477,153.014578
L_478,153.014578
L_479,204.9046044
L_480,163.9923442
L_481,153.014578
L_482,204.9046044
L_483,118.6820865
L_484,118.6820865
L_485,132.0700153
L_486,153.014578
L_487,119.3570174
L_488,114.0277632
L_489,153.014578
L_490,204.9046044
L_491,405.021155
L_492,573.2449433
L_493,573.2449433
L_494,369.105244
L_495,555.0229003
L_496,332.9252456
L_497,888.8296015
L_498,888.8296015
L_499,889.093689
L_500,448.0674305
L_501,871.9279963
L_502,871.9279963
L_503,604.935453
L_504,604.935453
L_505,2740.611713
L_506,731.1693163
L_507,800.3602623
L_508,289.369281
L_509,668.0523845
L_510,867.9666828
L_511,889.093689
L_512,2740.611713
L_513,415.584658
L_514,436.7116645
L_515,360.7231043
L_516,289.3507949
L_517,800.3602623
L_518,342.696486
L_519,731.1693163
L_520,800.3602623
L_521,257.9243729
L_522,604.935453
L_523,604.935453
L_524,218.3112359
L_525,218.3112359
L_526,218.3112359
L_527,412.6796948
L_528,318.0888053
L_529,411.0951693
L_530,414.5283078
L_531,155.4583918
L_532,340.1595451
