LINE_ID,FROM_NODE,TO_NODE,R_PU,X_PU,B_PU,RATING_MW
l_1283,N_1422,N_1425,8.30E-04,0.00719,0.15868553,140
l_1285,N_1422,N_1466,0.00059,0.00899,0.20555787,514.0893255
l_1286,N_1422,N_6101,1.24E-03,0.01962,0.44768374,514.0893255
l_1288,N_1423,N_1446,0.00384,0.0218,0.05927281,154.6881413
l_1289,N_1423,N_1464,0.00489,0.02811,0.15059486,154.6881413
l_1290,N_1423,N_1499,0.00234,0.0142,0.05779703,154.6881413
l_1291,N_1424,N_1446,0.0038,0.02155,0.05884836,203.5358016
l_1292,N_1424,N_1500,0.00234,0.0142,0.00315399,154.6881413
l_1293,N_1424,N_11525,0.0098,0.05936,0.15111726,154.6881413
l_1294,N_1424,N_11528,0.00373,0.02116,0.05779703,203.5358016
l_1295,N_1425,N_6101,0.00278,0.02523,0.52124419,364.8798428
l_1297,N_1426,N_17007,0.00363,0.02373,0.06578322,154.6881413
l_1298,N_1427,N_1448,0.00168,0.01283,0.03625456,156.8119527
l_1339,N_1446,N_1464,0.00269,0.00969,0.03468083,163.7143394
l_1340,N_1446,N_1490,0.00434,0.02463,0.06620767,203.5358016
l_1341,N_1446,N_1494,0.00042,0.00437,0.01260943,184.4214997
l_1342,N_1448,N_1490,0.00014,0.00077,0.00210266,203.5358016
l_1343,N_1450,N_1485,0.00455,0.02626,0.03468083,154.6881413
l_1344,N_1450,N_1492,0.00134,0.01412,0.04098228,184.4214997
l_1345,N_1450,N_1498,0.00381,0.02303,0.05884836,154.6881413
l_1346,N_1450,N_1499,0.00373,0.02262,0.05779703,154.6881413
l_1347,N_1451,N_1504,0.01735,0.06817,0.05359824,119.4380091
l_1348,N_1451,N_1516,0.02439,0.1361,0.09458052,128.8870413
l_1349,N_1451,N_1518,0.03663,0.09444,0.05989969,116.1983409
l_1350,N_1451,N_1541,0.0171,0.03793,0.02837285,116.1983409
l_1354,N_1464,N_1467,0.0045699,0.021433,0.05611882,149.4927679
l_1355,N_1464,N_1474,0.01019,0.03844,0.13241534,154.6881413
l_1356,N_1464,N_1478,0.00028,0.00134,0.00315399,147.5202782
l_1357,N_1466,N_6101,0.0007,0.01072,0.24517538,514.0893255
l_1358,N_1466,N_143525,0.00061197,0.0089663,0.18390439,395.0993845
l_1359,N_1467,N_1468,0.00176,0.00827,0.02102007,147.5202782
l_1360,N_1468,N_1470,0.02906,0.13668,0.35625721,147.5202782
l_1362,N_1472,N_1475,0.01499,0.03918,0.09773451,131.8571697
l_1363,N_1473,N_1604,0.02939,0.04622,0.02416753,110.798894
l_1364,N_1474,N_1475,0.00414,0.015,0.05359824,163.7143394
l_1366,N_1475,N_140402,0.00327,0.01589,0.04487416,150.1750423
l_1368,N_1478,N_1480,0.0029,0.01367,0.03573216,147.5202782
l_1369,N_1480,N_1490,0.00364,0.01729,0.04308494,147.5202782
l_1370,N_1483,N_17005,0.0001,0.001,0.00157373,154.6881413
l_1371,N_1483,N_17006,0.00215,0.01331,0.03310057,184.4214997
l_1372,N_1484,N_1485,0.00095,0.00552,0.01471209,156.8119527
l_1373,N_1484,N_17005,0.00209,0.0121,0.03247369,156.8119527
