Datetime,Wind_Speed
2024-07-07 00:00:00,8.79
2024-07-07 01:00:00,8.88
2024-07-07 02:00:00,8.46
2024-07-07 03:00:00,7.64
2024-07-07 04:00:00,6.76
2024-07-07 05:00:00,5.65
2024-07-07 06:00:00,4.69
2024-07-07 07:00:00,4.32
2024-07-07 08:00:00,2.48
2024-07-07 09:00:00,1.18
2024-07-07 10:00:00,1.37
2024-07-07 11:00:00,1.67
2024-07-07 12:00:00,1.78
2024-07-07 13:00:00,1.84
2024-07-07 14:00:00,2.1
2024-07-07 15:00:00,2.76
2024-07-07 16:00:00,3.67
2024-07-07 17:00:00,5.26
2024-07-07 18:00:00,8.26
2024-07-07 19:00:00,10.98
2024-07-07 20:00:00,11.01
2024-07-07 21:00:00,10.1
2024-07-07 22:00:00,9.37
2024-07-07 23:00:00,8.84
2024-07-08 00:00:00,8.59
2024-07-08 01:00:00,8.28
2024-07-08 02:00:00,7.82
2024-07-08 03:00:00,7.23
2024-07-08 04:00:00,6.63
2024-07-08 05:00:00,6.31
2024-07-08 06:00:00,6.44
2024-07-08 07:00:00,5.47
2024-07-08 08:00:00,5.74
2024-07-08 09:00:00,5.81
2024-07-08 10:00:00,5.31
2024-07-08 11:00:00,4.57
2024-07-08 12:00:00,3.88
2024-07-08 13:00:00,3.32
2024-07-08 14:00:00,2.93
2024-07-08 15:00:00,2.92
2024-07-08 16:00:00,3.49
2024-07-08 17:00:00,5.2
2024-07-08 18:00:00,7.17
2024-07-08 19:00:00,7.76
2024-07-08 20:00:00,6.62
2024-07-08 21:00:00,5.1
2024-07-08 22:00:00,4.14
2024-07-08 23:00:00,3.83
2024-07-09 00:00:00,3.91
2024-07-09 01:00:00,4.22
2024-07-09 02:00:00,4.39
2024-07-09 03:00:00,4.36
2024-07-09 04:00:00,4.09
2024-07-09 05:00:00,3.81
2024-07-09 06:00:00,4.58
2024-07-09 07:00:00,4.26
2024-07-09 08:00:00,3.49
2024-07-09 09:00:00,2.95
2024-07-09 10:00:00,2.75
2024-07-09 11:00:00,2.86
